Question,Class
Do I get access to all the services offered under Smartup programme once I start banking with HDFC BANK,accounts
Do I need to pay any penalty on premature closure of Fixed Deposits,accounts
Where can I get Fixed Deposit advice from,accounts
Why is the principal amount and the fixed deposit maturity amount of my Fixed Deposit the same,accounts
Does HDFC Bank offer preferential rate of interest on Fixed Deposits for Senior Citizens,accounts
Where can I register for HDFC Bank’s NetBanking facility,accounts
How can I book a Fixed Deposit through NetBanking,accounts
"I have made a Fixed Deposit with HDFC Bank. I want to update my PAN details in the account, how should I update my new PAN details",accounts
What is the time taken to realize outstation cheques,accounts
Whom should I approach for any other service related to HDFC Bank Fixed Deposits,accounts
How can I avail exemption from TDS on interest earned on Fixed Deposits,accounts
How can I prematurely liquidate my Fixed Deposits,accounts
How to Download TDS Certificate through Online,accounts
How to change existing fixed deposit account tenure,accounts
How is TDS deducted,accounts
Can TDS be recovered from my principle of the FD,accounts
When does the Bank issue a TDS Certificate,accounts
Can TDS influence the maturity of my deposit,accounts
What are the implications of booking an FD without PAN,accounts
Will changes to my deposit portfolio affect my TDS liability,accounts
When is TDS deducted for Regular Fixed Deposit,accounts
What documents are required to open a senior citizen Regular Fixed Deposit,accounts
Can I open a joint account with a non-senior citizen for Regular Fixed Deposit,accounts
"As a Regular Fixed Deposit holder, How do I apply for an exemption on TDS",accounts
How to prematurely liquidate the Fixed Deposit Online,accounts
What is the new policy with regards to PAN to book fixed deposit with our bank,accounts
When do I become liable for TDS,accounts
What documents are required to open a senior citizen 5 Year Tax Saving Fixed Deposit,accounts
Will the bank issue a TDS certificate,accounts
"As a 5 Year Tax Saving Fixed Deposit holder, How do I apply for an exemption on TDS",accounts
When is TDS deducted for 5 Year Tax Saving Fixed Deposit,accounts
Does any change or enhancement in my deposit portfolio affect TDS liability,accounts
Do I need to visit branch to receive my 5 Year Tax Saving Fixed Deposit proceeds on maturity,accounts
Can I open a joint account with a non-senior citizen for 5 Year Tax Saving Fixed Deposit,accounts
How to apply for 5 Year Tax Saving Fixed Deposit,accounts
When am I liable for TDS (Tax Deduction at Source),accounts
"If I have a joint Super Saver Account, can both account holders get an ATM/Debit card",accounts
Is the Super Saver Account a normal Savings Account,accounts
What documents are required to open a senior citizen Super Saver Facility,accounts
I’m part of a Trust – can I open a Super Saver Account,accounts
Can I add on a Fixed Deposit,accounts
Will TDS be charged on the gross interest earned or the net interest earned,accounts
Can I have a Super Saver Facility and a Sweep-in Facility on the one Fixed Deposit,accounts
Can I have a Super Saver Facility and a Sweep-in Facility on the same Savings Account,accounts
How can I apply for the Super Saver Account,accounts
Can a joint account be opened with a non-senior citizen,accounts
How does it work,accounts
Can I get an overdraft facility on my fixed deposit funds,accounts
What are the benefits,accounts
How can I apply for the Sweep-in facility,accounts
Can I have both a Super Saver facility and a Sweep-In facility on the same Fixed Deposit,accounts
Will both the principal and interest amount of my Fixed Deposit be considered,accounts
Can I have a Super saver facility and a Sweep-in facility on the same Savings Account,accounts
On what basis the Sweep-in facility gets triggered ,accounts
Can a Fixed Deposit be linked to two different Savings Accounts for the Sweep-in,accounts
Can my Sweep-in facility have multiple deposits,accounts
Can I link accounts held in different account titles to the same Savings Account for the Sweep-In facility,accounts
What is the Sweep-in facility all about,accounts
Is there a nomination facility,accounts
Is there a monthly or quarterly interest pay-out option,accounts
"Can I change the tenure and installment due date, (auto debit date) of my Recurring Deposit",accounts
For what period can I open a Recurring Deposit,accounts
Can I choose my instalment date,accounts
Can partial Payments be made on Recurring Deposits,accounts
What is the maximum deposit amount a Recurring Deposit account can be opened with,accounts
What if certain RD installments are not paid,accounts
How do Recurring Deposits work,accounts
Can I pay more than one instalment at a time,accounts
How Interest Rate is calculated for premature withdrawal of Recurring Deposit,accounts
Is an overdraft facility allowed,accounts
How can I prematurely liquidate my recurring deposit,accounts
What happens if I don’t pay an instalment,accounts
Can my Recurring Deposit be opened in joint names,accounts
Can the first applicant for a Recurring Deposit be a minor,accounts
Can I withdraw prematurely from my Recurring Deposit,accounts
I'm a senior citizen – are there any extra benefits,accounts
How to open a Recurring Deposit,accounts
Can you covert your existing saving account into a pension account,accounts
Any minimum Balance need to be maintained in the account,accounts
When can we open pension accounts,accounts
Is nomination required in the account,accounts
Can a pension account be opened jointly,accounts
What are the charges for collection of outstation cheques,accounts
What is the time taken to realize outstation cheques,accounts
How do I know my beneficiary's details for a cheque issued in my name (Basic Savings Bank Deposit Account - Farmers),accounts
How can I get an International Debit Card with my Basic Savings Bank Deposit Account - Farmers,accounts
What can I do with the NEFT facility,accounts
Are all IVR based calls free,accounts
How do I apply for a Basic Savings Bank Deposit Account - Farmers with HDFC Bank,accounts
How do I know my beneficiary's details for a cheque issued in my name (Kisan Club Savings account),accounts
Is a nomination facility available for lockers,accounts
What are the timings for locker operations,accounts
How many nominees can be added to a single locker,accounts
Can I pay for the rent of a locker through my account,accounts
What is the procedure to add / cancel / modify a nominee in my locker,accounts
What are the tenure options,accounts
When can I open a salary account with HDFC Bank,accounts
I have not received the Welcome Letter and ATM/Debit Card PIN for my new account,accounts
What is the time taken to realize outstation cheques,accounts
What to do if my Account becomes dormant ,accounts
What are the documents required to open a salary account,accounts
Can a salary account have a joint applicant,accounts
Is employment confirmation mandatory for me to open a Classic Salary Account,accounts
What is the time taken to realize outstation cheques,accounts
How can I stop a cheque payment,accounts
Can a Company ID card be accepted as a Photo ID document ,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,accounts
How long will it take to update a change of address,accounts
Can I use my existing Salary Account if I have changed employers ,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
Can I use my existing Salary Account if I have changed employers ,accounts
Is employment confirmation mandatory for me to open a Regular Salary Account,accounts
How can I stop a cheque payment,accounts
What are the eligibility criteria for Personal Accident Death Cover,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,accounts
How long will it take to update a change of address,accounts
What is the time taken to realize outstation cheques,accounts
Can a Company ID card be accepted as a Photo ID document ,accounts
Can I use my existing Salary Account if I have changed employers ,accounts
Can a salary account have a joint applicant,accounts
What is the time taken to realize outstation cheques,accounts
How long will it take to update a change of address,accounts
Is employment confirmation mandatory to open a Premium Salary Account,accounts
What are the eligibility criteria for Personal Accident Death Cover,accounts
How can I stop a cheque payment,accounts
Can a Company ID card be accepted as a Photo ID document ,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
What are the modes of accident covered under Personal Accidental Death Cover,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
Is employment confirmation mandatory for me to open a Defence Salary Account,accounts
What are the eligibility criteria for Personal Accident Death Cover,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,accounts
Can a Defence ID card be accepted as a Photo ID document (Defense Salary Account),accounts
How long will it take to update a change of address,accounts
What is the time taken to realize outstation cheques,accounts
How can I stop a cheque payment,accounts
Can I use my existing Salary Account if I have changed employers ,accounts
Can a Company ID card be accepted as a Photo ID document (Basic Savings Bank Deposit Account - Salary),accounts
Is address proof a mandatory requirement (Basic Savings Bank Deposit Account - Salary),accounts
How can I stop a cheque payment,accounts
Can I use my existing Basic Savings Bank Deposit Account - Salary if I have changed employers,accounts
What is the time taken to realize outstation cheques,accounts
Is employment confirmation mandatory for me to open a Basic Savings Bank Deposit Account - Salary,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,accounts
How long will it take to update a change of address,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
How do I know my beneficiary's details for a cheque issued in my name,accounts
From where can I enquire about the status of my request to change the residential address of my HDFC Bank account,accounts
What is the procedure to add/modify or delete a nominee for all my accounts and deposits,accounts
What do I need to do to open a joint account,accounts
Will I be able to access both my accounts at all establishments/ATMs through a single Debit Card,accounts
Will I earn interest on the Reimbursement Account,accounts
Why do I need a Reimbursement Account,accounts
Will I be entitled to the same kind of benefits on this account as my Salary account,accounts
What is the time taken to realize outstation cheques,accounts
How long will it take to update a change of address,accounts
How can I stop a cheque payment,accounts
Can I use this account for regular cheque/ cash deposits & withdrawals,accounts
Can I have multiple Zero Balance Salary Account with your Bank,accounts
What is the rate of interest I will earn on the balance in my Savings Account,accounts
What happens if I don't use my savings account for a very long time,accounts
How do I register for Email Statement/s,accounts
How can I change / add the email ID in my account,accounts
How do I update my PAN number,accounts
What is the time taken to realize outstation cheques,accounts
How can I request for Physical Statement/s,accounts
Reissuance of ATM/Debit Card PIN,accounts
How can I change / update the address for my account,accounts
How do I activate a 'Dormant' Savings Account,accounts
How Do I Change / Add my Mobile Number,accounts
How can you transfer your Savings Account from one branch to another,accounts
What are the documents required to open a New Savings Account,accounts
What is the frequency of interest payout for a Savings Account,accounts
Can I get a  Debit Card linked to my Institutional Savings Account,accounts
What is the general documentation requirement to open an Institutional Savings Account,accounts
Can unregistered institutions open an Institutional Savings Account,accounts
Can transactions be done at any HDFC Bank branches,accounts
My institution will start receiving foreign contribution. Can I receive the same in the Institutional Savings Account ,accounts
Can funds be credited to an FCRA account simply after the account is opened,accounts
Is there an AMB (Average Monthly Balance) declaration required to be submitted along with the documents for an Institutional Savings Account,accounts
Can NetBanking facility (financial rights) be enjoyed by  authorized signatories in the Institutional Savings Account,accounts
What is the AMB (Average Monthly Balance) requirement of the Institutional Savings Account,accounts
Do I need to close my account when my kid attains majority,accounts
How long the Standing Instruction given will be valid,accounts
Is the primary Customer ID of the Kids Advantage account will be same as my Customer ID,accounts
What are the documents required to open a Women's Savings Account,accounts
What do you mean by exclusions under the Accidental Protection Plan - Hospital Cash,insurance
Can I include my spouse in this the Accidental Protection Plan - Hospital Cash policy,insurance
How do I make a claim,insurance
When does my Revive Policy for Personal Accident start,insurance
What plans are available under  the Revive Policy for Personal Accident ,insurance
What benefit do I get from the Revive Policy for Personal Accident if I break my bones,insurance
Is there an age limit to buy an  Accidental Protection Plan - Hospital Cash policy,insurance
Who can be a beneficiary under the Accidental Protection Plan - Hospital Cash,insurance
How do I renew my Accidental Protection Plan - Hospital Cash policy,insurance
Will I get a renewed Revive Policy for Personal Accident policy,insurance
What is the definition of a dependent child,insurance
Does  the Accidental Protection Plan - Hospital Cash policy cover natural death and daily sickness as well,insurance
Does this the Revive Policy for Personal Accident cover natural death and daily sickness,insurance
What benefit do I get from the Accidental Protection Plan - Hospital Cash policy if I break my bones,insurance
How do I make my premium payments for my Accidental Protection Plan - Hospital Cash policy,insurance
What is an accident,insurance
When does my Accidental Protection Plan - Hospital Cash policy start,insurance
What is the definition of a dependent child,insurance
Does  the Accidental Protection Plan - Hospital Cash policy have a hospital cash benefit,insurance
What is the cancellation procedure,insurance
Does this the Revive Policy for Personal Accident have hospital cash benefit,insurance
What do you mean by exclusions under the Revive Policy for Personal Accident,insurance
How many members can be included under the Family Plan of the Revive Policy for Personal Accident,insurance
Is there an age limit to opt for a Revive Policy for Personal Accident,insurance
Why should I purchase Critical Illness Insurance,insurance
What is Critical Illness Insurance,insurance
Can I make multiple claims for the same or any other listed Critical Illness,insurance
What is meant by disease under the Critical Illness - Platinum Plan,insurance
What are the available plans under the Critical Illness policy,insurance
Who do I contact in the case of a claim under the Critical Illness policy,insurance
What are the benefits under  the Critical Illness - Platinum Plan,insurance
What is a Benefit Policy,insurance
What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy,insurance
What documents are required at the time of a claim,insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,insurance
What do you mean by pre-existing diseases not covered under the Critical Illness plan,insurance
Is there any tax exemption under the Health Suraksha policy,insurance
Is there any eligibility criterion to purchase this the Critical Illness policy,insurance
What is meant by disease under the Critical Illness - Platinum Plan,insurance
Can I make multiple claims for the same or any other listed Critical Illness,insurance
Are there any eligibility criteria to purchase this the Critical Illness - Platinum Plan ,insurance
What is Critical Illness insurance,insurance
Why should I buy Critical Illness insurance,insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,insurance
What documents are required at the time of a claim,insurance
Who do I contact in the case of a claim under the Critical Illness - Platinum Plan,insurance
What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy,insurance
Why should I buy Critical Illness insurance,insurance
What are the benefits under  the Critical Illness - Platinum Plan,insurance
Is there any tax exemption under the Health Suraksha policy,insurance
What do you mean by pre-existing diseases not covered under the Critical Illness - Platinum plan,insurance
What is cumulative bonus,insurance
What is meant by Day Care Procedures,insurance
What are Pre and Post hospitalisation expenses,insurance
What are the benefits of a health card,insurance
Do I need to pay for hospitalisation,insurance
What are the medical tests that I need to undergo to enrol myself for  the Critical Illness policy,insurance
What is Family Floater and what are its features,insurance
What is meant by disease,insurance
What are domiciliary hospitalisation expenses under the Health Suraksha policy,insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,insurance
What is meant by Network Hospitals,insurance
Are there any special discounts available under the Health Suraksha policy,insurance
What do you mean by pre-existing diseases,insurance
What is a hospital/nursing home,insurance
Are all Health Suraksha policy holders eligible for a health card,insurance
Why do I need health insurance,insurance
What is covered under the Ayush benefit,insurance
What are the benefits under  the Health Suraksha policy,insurance
What is an injury or injuries,insurance
What is meant by non-network hospitals,insurance
What is meant by Organ Donor Expense,insurance
What do you mean by pre-existing diseases,insurance
Who do I contact to submit a claim under Health Suraksha policy in case of hospitalisation,insurance
Is there any tax exemption under the Health Suraksha policy,insurance
What are the plans available under this policy,insurance
Is there any eligibility criterion to purchase this the Health Suraksha policy,insurance
What is the benefit of broken bones under this policy,insurance
How do I make a claim,insurance
How do I renew my policy,insurance
Will my accident policy cover me even if I am out of the country,insurance
Does this policy have hospital cash benefit,insurance
Does this policy cover natural death and daily sickness also ,insurance
What is the definition of a dependent child,insurance
Who can be the beneficiary,insurance
How many members can be included under the Family Plan,insurance
What kind of documentation is required,insurance
What do you mean by exclusions,insurance
When does my policy start,insurance
Is there an age limit for opting Individual Personal Accident Plan 2 policy,insurance
What are the benefits payable under this policy,insurance
How do I make my premium payments,insurance
Can I include my parents in this policy,insurance
What kind of benefits is my spouse and children entitled to,insurance
What are the available plans with under this policy,insurance
Will I get a renewed policy,insurance
What is the Cancellation procedure,insurance
How do I make my premium payments,insurance
What is an accident,insurance
Can I include my parents in this policy,insurance
How do I renew my policy,insurance
What is an accident,insurance
What is the Cancellation procedure,insurance
How do I make my premium payments,insurance
What is an accident,insurance
Is there an age limit for opting HDFC Ergo Personal Accident Insurance policy,insurance
Till what age the HDFC Ergo Personal Accident Insurance policy can be renewed,insurance
What do you mean by exclusions,insurance
Does this policy cover natural death and daily sickness also,insurance
Who can be the beneficiary,insurance
Will my accident policy cover me even if I am out of the country,insurance
Does the threshold/deductible limit consist of single claim or multiple claims,insurance
Is there any co-payment applied on this policy,insurance
Do I need to undergo medical test for buying this policy,insurance
What are the Medical test charges,insurance
What is the minimum and maximum deductible in this plan,insurance
What is the entry & exit age for this policy,insurance
Can I also include my parents and parent- in-laws in this policy,insurance
Is it mandatory to inform change in health condition in writing while renewing Super Top Up plan,insurance
"If the claim amount is 6 lakhs, how much will be paid by HDFC Ergo General Insurance",insurance
What are the documents required,insurance
Will the continuity benefit (2years) be given on Super Top Up plan as well,insurance
Does pre-existing cover start after 4 years or 3 years,insurance
Chemo & dialysis does not required local or general anesthesia will it be cover under day care,insurance
Do we have any loading on pre-existing ailments,insurance
A person undergoes for dialysis 4 times in a week will it be covered if the basic deductible is exhausted,insurance
Can I cover my family members in this policy,insurance
Will I get tax benefit if I cover my family on individual Sum Insured basis,insurance
What will be the start date of my insurance policy,insurance
"If I have a home insurance policy with two different companies, will I benefit from both",insurance
Is there an age limit on the property for it to be insured,insurance
What are the documents required to be submitted in case of a home burglary claim,insurance
What happens to the home insurance policy if the insured house is sold,insurance
"What is the difference between burglary, theft and larceny",insurance
Can a HUF/ Leased (Mhada/Cidco) property be insured,insurance
When is an FIR necessary in a Home Insurance claim,insurance
What happens after the Home Insurance claim is registered,insurance
How will I know my Home Insurance policy is due for renewal,insurance
What is the Home Insurance premium charged for fire and special peril cover and burglary and theft cover,insurance
Do you offer any discounts for Home Insurance,insurance
Can a laptop be covered under a Home Insurance policy,insurance
How do we value the property under home insurance,insurance
Is an FIR necessary for a property damage claim under the Home Insurance policy,insurance
Can an entire society or building be covered under your Home Insurance policy,insurance
What property is not covered under home insurance,insurance
What are the eligibility criteria to avail a Home Insurance policy,insurance
Why do I need a Children’s Plan,insurance
Will I also be able to save tax through a Children’s Plan,insurance
What are the factors to consider while buying a Children’s Plan,insurance
Does HDFC SL offer Unit Linked plans within its entire range of Children’s Plans,insurance
Should I buy a plan in my Child’s name or in my own name,insurance
What is the surrender benefit,insurance
Can I take any loan,insurance
What are the exclusions available under the Plan,insurance
What are the fund choices,insurance
What are the Plan option available,insurance
What is the Settlement Option,insurance
What is the min-max age at entry/maturity,insurance
What is the Maturity Benefit under the plan,insurance
What is the premium frequency available under the policy,insurance
Can the plan be offered under limited underwriting,insurance
Do I have an option to avail of loans under the policy,insurance
When does the plan acquire Guaranteed Surrender value,insurance
What is the limited pay term available under the plan,insurance
What is the Death-Benefit under the plan,insurance
What is the exclusion in the plan,insurance
What is a retirement plan,insurance
Will automatic conversion of vesting benefit to annuity happen,insurance
What are the additional servicing charges,insurance
What type of bonuses is this plan eligible for,insurance
What are the conditions on revival,insurance
Why can't I have liquidity of complete amount on surrender,insurance
Can the vesting age be post-poned or pre-poned,insurance
Are all additions guaranteed,insurance
Is sum assured a death benefit,insurance
What are the conditions on revival,insurance
Will sum assured be used to calculate any benefits,insurance
Should I choose a Unit Linked or a non – Unit Linked plan,insurance
What do you mean by ‘switching funds’,insurance
What are the different types of Savings Plans,insurance
How can a policyholder track the performance of a policy fund,insurance
Can I take this plan without going for medicals,insurance
What is the premium frequency available under the Plan,insurance
What is the surrender benefit under the plan,insurance
Can I take any loan,insurance
What are the fund choices,insurance
What is the Settlement Option,insurance
Can I take any loan,insurance
What are the fund choices,insurance
What happens if premiums are not paid,insurance
What is the surrender benefit,insurance
What is the Settlement Option,insurance
What are the fund choices,insurance
Can I take any loan,insurance
What is the surrender benefit,insurance
What happens if premiums are not paid,insurance
What is the Settlement Option,insurance
What are the different types of Savings Plans,insurance
What is meant by a ‘With Profits’ plan,insurance
Should I choose a Unit Linked or a non – Unit Linked plan,insurance
What are the benefits of a retirement plan,insurance
What is an Retirement Plan,insurance
What is HDFC Life New Immediate Annuity Plan,insurance
Why do I need Health Insurance,insurance
Is Health Insurance the same as Life Insurance,insurance
What is the policy term of the plan,insurance
Will the policyholder get a premium discount in cases where there is no claim submitted in the previous year,insurance
Who all can be covered under the Family Floater Plan,insurance
Which are the factors one should consider while choosing a Health Insurance Plan,insurance
Can the policyholder get cashless services in case of hospitalization in a non-network hospital,insurance
What are Tax Benefits,insurance
Why should I buy HDFC Life Health Assure Plan,insurance
What is the amount of tax that can be saved,insurance
Will a policyholder's premium increase in the next year if he makes a claim in the current year,insurance
Where can the policyholder get the list of Network Hospitals,insurance
Can I insure my children in the Family Floater Plan,insurance
What is the difference between fixed benefit health insurance plans and reimbursement health insurance plans,insurance
What are the services offered by TPA,insurance
What is Health Insurance,insurance
What is the co pay that will need to be borne by the Life Insured in case of hospitalization in non network hospitals,insurance
What is the maximum age limit for buying this Plan,insurance
What is the Maturity Benefit under the plan,insurance
What is the min-max age at entry/maturity,insurance
What is the premium frequency available under policy,insurance
Can the plan be offered under limited underwriting,insurance
What is the exclusion in the plan,insurance
Do I have the option to avail a loan under the policy,insurance
Can I withdraw before maturity,insurance
What is the Surrender Benefit,insurance
What happens if Premiums are not paid,insurance
What is the Death-Benefit under the plan,insurance
What is the exclusion in the plan,insurance
When does the plan acquire Guaranteed Surrender value,insurance
Do I have option to avail loan under the policy,insurance
Is there any option available for monthly payout,insurance
What is the Guaranteed Base Income under the plan,insurance
What is the Death Benefit under the plan,insurance
What is the premium frequency available under policy,insurance
What is the premium frequency available under policy,insurance
What is the minimum/maximum Policy term/Premium payment term,insurance
What is the minimum/maximum age at entry/maturity,insurance
What is the exclusion in the plan,insurance
What is the Maturity Benefit under the plan,insurance
When does the plan acquire Guaranteed Surrender value,insurance
Can the plan be offered under limited underwriting,insurance
What is the Death-Benefit under the plan,insurance
When does the plan acquire Guaranteed Surrender value,insurance
What is the premium frequency available under policy,insurance
How do I choose from options available under this plan,insurance
Do I have option to avail loan under the policy,insurance
Can I take monthly payouts instead of annual payouts,insurance
What is the exclusion in the plan,insurance
Will the basic death benefit amount be reduced by the survival benefits already paid,insurance
What payouts will I get under different plan options,insurance
Can I change my maturity/death benefit options during the policy term,insurance
What are Guaranteed Additions under this plan,insurance
What is the Death-Benefit under the plan,insurance
What is the Policy term/Premium payment term,insurance
Can the plan be offered under limited underwriting,insurance
Do I have option to avail loan under the policy,insurance
What happens in case of me wanting to surrender my policy,insurance
What is the min-max age at entry/maturity ,insurance
What is the exclusion in the plan,insurance
What are the charges under this policy,insurance
What is the Death-Benefit under the plan,insurance
What is the policy term available under the plan,insurance
Is this plan only available online,insurance
Why is HDFC Life C2P+ Extra Life Cover important,insurance
Does this plan offer tax benefits,insurance
How long will my family get the monthly income for,insurance
What is the difference between Income and Income Plus Option,insurance
I am a NRI. Can I Invest in this plan,insurance
What is the limited mode of premium pay,insurance
Is there a loan facility in my policy,insurance
Can I do a partial withdraw from my fund,insurance
Can I terminate my policy,insurance
For how many years can I stay invested in this plan,insurance
Why is this plan good for me,insurance
What are the charges applicable for this plan,insurance
What is the maximum amount I can invest,insurance
What is the minimum premium that needs to be paid,insurance
Can I surrender this policy,insurance
How is this plan different from other ULIPs,insurance
What kind of returns will I get by investing in this plan,insurance
Are there medicals involved to buy this plan,insurance
What is the frequency in which I can invest my money,insurance
What are the various fund options in this plan,insurance
Can I save tax by investing in this policy,insurance
Can I buy more than one policy,insurance
What is a settlement option,insurance
How is the Fund Value calculated,insurance
What do I get at the end of the policy term,insurance
What will my family receive in case of my unfortunate demise,insurance
Is there any protection cover in this plan,insurance
What are the different plan options under the plan,insurance
What will I be getting on maturity,insurance
What is the exclusion in the plan,insurance
What is the limited premium payment term available under this policy,insurance
What are the guaranteed benefits that are there in the policy,insurance
What is the death benefit under this plan,insurance
Is there any Accidental Death Benefit in the policy,insurance
What are the premium paying frequencies that are available under this policy,insurance
Do I have option to avail loan under the policy,insurance
What is the duration of the policy term in case I choose 'Endowment' or 'Endowment with Whole Life' option,insurance
When does the plan acquire Guaranteed Surrender value,insurance
What is the HDFC Life Cancer Care Policy,insurance
What are the Plan Options available for this product,insurance
What is the discounted Premium on higher Sum Assured,insurance
Would I have to go for any medicals,insurance
Can I opt for this plan if I have a pre existing Cancer,insurance
Is there any death benefit for this plan,insurance
Is there any maturity benefit for this plan,insurance
Is there any Surrender benefit for this plan,insurance
Can I save tax by investing in this policy,insurance
What is Extra Life Option in the policy,insurance
What are the Plan options available,insurance
What are the exclusions available under the Plan,insurance
Can I do any free switch or premium redirection under the plan,insurance
What are the fund options,insurance
Can I take any loan,insurance
How is the Fund Value calculated,insurance
What is the surrender benefit,insurance
What is the minimum premium that needs to be paid,insurance
What is the death benefit under this plan,insurance
What is the maximum amount I can invest,insurance
What are the premium paying frequencies that are available under this policy,insurance
For how many years can I stay invested in this plan,insurance
Is there any Loyalty Additions under the Plan,insurance
What do I receive on Maturity,insurance
What happens if premiums are not paid,insurance
What is the Settlement Option,insurance
Can I buy more than one policy,insurance
Can I do a partial withdraw from my fund,insurance
What are the features that are available with HDFC Life Uday,insurance
What is the minimum premium that I need to pay in order to take an HDFC Life Uday Policy,insurance
What if I miss one of my due premiums,insurance
When does my policy acquire a Guaranteed Surrender Value (GSV),insurance
Can I take a loan under HDFC Life Uday in case I need money during any emergencies,insurance
What are the minimum and maximum age limits for investing in HDFC Life Uday,insurance
What is the rate of Guaranteed Additions that s available in this policy,insurance
What is the death benefit that I receive if I choose HDFC Life Uday,insurance
What is the maturity benefit that I receive if I invest in this plan,insurance
Is there any discount if I choose higher premiums,insurance
What are the Policy Terms and Premium Payment Term options available under HDFC Life Uday,insurance
What if I need the money for an emergency,insurance
What is so special about this product,insurance
What would be the annuity rates at the time of maturity,insurance
I have 30 years to my retirement. Why do I need to plan now,insurance
Are top-ups allowed in this plan,insurance
What are the steps involved to purchase this policy quickly in case I am travelling and do not have much time,insurance
I don’t want to wait till 60 years for retirement. Is there a way out,insurance
What is the HDFC Life Assured Pension Plan,insurance
Why should I buy HDFC Life Assured Pension Plan,insurance
HDFC Life APP is a ULIP Plan. Why don’t I get to choose the funds in this plan,insurance
Are there any tax benefits available,insurance
I have other sources of income. Do I still need to plan for retirement,insurance
How would you utilise my funds,insurance
Do I get a life cover from this plan,insurance
Can I exercise the freelook option in this policy,insurance
Can I get a loan or partial withdrawal on this plan,insurance
When do I get to choose the annuity option,insurance
What is HDFC Life Easy Health Plan,insurance
What are the different plan options available under this product,insurance
Would I have to go for any medicals,insurance
What are the different Sum Insured options available underthis product,insurance
Are there any Tax benefits with this product,insurance
Are there any exclusions under this product,insurance
What if I don’t/miss to pay premiums,insurance
What if I don’t/miss to pay premiums even in the Grace period,insurance
Can I reinstate the policy if it is lapsed,insurance
Is there any death benefit under this product,insurance
Is there any Surrender benefit under this product,insurance
What are the different benefits available under this product,insurance
Are there any other terms and Conditions,insurance
Is there any maturity benefit under this product,insurance
How will the Pay Out happen for this plan,insurance
What is the policy term available under this product,insurance
What are the premium payment frequencies available under this product,insurance
Is there any eligibility criteria under this product,insurance
What are the minimum and maximum premiums available under this product,insurance
What is HDFC Life Capital Shield,insurance
What is the Policy Term available in this plan,insurance
What is the Death Benefit this plan,insurance
What is the Maturity Benefit available under this plan,insurance
Are there any exclusions in this plan,insurance
What are the age limits for this plan,insurance
What are the key features of this plan,insurance
What is the difference between Life and Extra Life options,insurance
What are the benefits available under Income option,insurance
What is the difference between Income and Extra Life Income options,insurance
What is the difference between 3D Life and 3D Life Long Protection options,insurance
What is Life Stage Protection feature,insurance
What is Accidental Total Permanent Disability (ATPD),insurance
How many Critical Illnesses are covered under 3D Life & 3D Life Long Protection options and what is the benefit associated with them,insurance
What is Top up option,insurance
What is the Policy Term available under this plan,insurance
How many plan options are available under this plan,insurance
Is this plan only available online,insurance
What is the difference between Life and 3D Life options,insurance
What is the difference between Life and Return of Premium options,insurance
What is the difference between Life and Life Long Protection options,insurance
Are there any alterations allowed under this plan,insurance
Does this plan offer tax benefits,insurance
What are the benefits available under Life Option,insurance
What does 3D stand for in HDFC Life Click 2 Protect 3D Plus,insurance
Do I need to have Auto Insurance,insurance
Do I need to lodge an FIR in case of an accident,insurance
"During the policy period, if I add accessories like a music system in my vehicle, are they also covered",insurance
What is IDV (Insured’s Declared Value),insurance
What is salvage and what happens to it,insurance
What documents do I need to submit when buying Insurance for my vehicle,insurance
Are there any specific exclusions under a Motor Policy,insurance
Can I buy a Motor Insurance policy online,insurance
Can I pay the premium for my Auto Insurance in instalments,insurance
Can I renew my Motor policy online,insurance
Can I renew other insurer policies with HDFC ERGO online,insurance
How is the premium for Motor Insurance calculated,insurance
What is a Motor Insurance cover note,insurance
What documents need to be submitted when I make a claim under my Motor Insurance policy,insurance
Will HDFC ERGO General Insurance give me an advance on the basis of a damage estimate under the Motor Insurance policies,insurance
What if I misplace my Motor Insurance policy document,insurance
What is meant by total loss under the Motor Insurance policy,insurance
What is a No Claim Bonus (NCB) under a Motor Insurance policy,insurance
What is HDFC ERGO General Insurance role in a third party injury/property damage suit,insurance
